db_inst,year_month,employee_id,instance_server_id,instance_server_channel_id
hms_inst1,2025-12,202103069504E6432CD4,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20210306D86D33EC90C3,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202108310D64DD0AD225,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20210831CD0ABF143965,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202111014355212F60E4,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,2021113093535C83F9F6,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202204286923189E1DA3,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202207046E39AB54D1A4,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20221107B8DE4C60F367,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20230105BFAA9409AA96,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20230620E6A7DD449B74,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,2023103121E51F675A23,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20241011D8AA0AA21F55,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20241011EA9C814CCB18,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202411152ED192F51527,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202502018FF319350A92,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202502019FAF8802B548,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202503257B0F8E480E3E,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202504010A658C66C70A,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,202504017A82F963B1EF,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20250915304DDA382D5E,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,2025092943512740FDB9,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20251130905F23A42509,2021030316AD873A9D91,20210304BB894995B1FA
hms_inst1,2025-12,20220201D8173CB2E942,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20220203E0AF165F0F74,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20220224B7A0D60BBDB1,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,202203095386BC8F95BC,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20220314870EB4C65B64,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20220323DDE839F0D533,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20220622415B148A9792,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,2022102905BCF611EED0,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20221118A48026A105CE,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20221119404EEAF7E4CD,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,2023010968CA305CCD79,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,2023060889B92DBAEBAA,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20230720BCC9F84458EA,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20230920BE719AC1CF02,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,2023122811D7CB8AA7E5,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20240113B3A24B350BD1,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20240603533E05CDABBE,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20240801513FB4BC8B16,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20240906E596B0B7C6CD,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20240920834582E7E92E,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20250104AB38840BAE21,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,2025041826187FFC78C0,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20250610F4D7B14967D9,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,202510218EFFC09E1B42,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,202510293DDCAA2183C3,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,20251114E99DE8030D4B,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,202511286095E62644DE,20210412BD4EB64076C3,2021041272D13FD754F5
hms_inst1,2025-12,2021041901081F53DECB,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,2021041902DEEE862AAB,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,2021041910AAFC4EDF8F,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,202104191AA8349E6B63,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,202104191DDE039CC360,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,202104191F3238C226AA,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419309DCEF275A3,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419390FA3A15AA4,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,2021041955A917845CC2,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,202104195AD04287FA9B,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,202104195DEE9AAD10D2,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,202104195E2FE8E18E3B,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,2021041961594A722429,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419633CA9E45AAD,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,2021041979D942F28844,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,2021041982C0D629D64F,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,202104198606943DC14B,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,202104198ACD64B100B5,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419A401823960D9,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419BF5FD7225EC3,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419D1773F55011D,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419DD7EB4474575,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419E3BD1E5AD244,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419E91C12802284,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419F7D9445A16D8,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20210419FA81328F5017,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,202105065473E14127E6,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,2021061010C58F04F97B,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20211203E41B2F717247,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,2022021437D7690284BB,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,2022051793838D0AEBAE,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,202206130A723075BB1C,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,2022080834A4EA8B8D86,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20230701C50C6A97C777,2021041969673A6BB1FD,202104198A4FAE7B3181
hms_inst1,2025-12,20230712F5BD15029DC3,2021041969673A6BB1FD,202104198A4FAE7B3181
